"filename", "language", "Markdown", "C#", "XML", "comment", "blank", "total"
"/home/munglo/MyRepos/Juan/Plugins/QueuePlugin/QueueSettings.cs", "C#", 0, 8, 0, 0, 2, 10
"/home/munglo/MyRepos/Juan/Plugins/RolesPlugin/MarkedMessage.cs", "C#", 0, 9, 0, 0, 1, 10
"/home/munglo/MyRepos/Juan/Plugins/RolesPlugin/RolesPlugin.cs", "C#", 0, 427, 0, 6, 25, 458
"/home/munglo/MyRepos/Juan/Plugins/RolesPlugin/RolesPlugin.csproj", "XML", 0, 0, 27, 0, 0, 27
"/home/munglo/MyRepos/Juan/Plugins/RolesPlugin/RolesSettings.cs", "C#", 0, 36, 0, 0, 4, 40
"/home/munglo/MyRepos/Juan/Plugins/RolesPlugin/TopicDefinition.cs", "C#", 0, 9, 0, 0, 1, 10
"/home/munglo/MyRepos/Juan/Plugins/ShoutOutPlugin/DefaultLines.cs", "C#", 0, 10, 0, 0, 2, 12
"/home/munglo/MyRepos/Juan/Plugins/ShoutOutPlugin/ShoutOut.cs", "C#", 0, 285, 0, 23, 23, 331
"/home/munglo/MyRepos/Juan/Plugins/ShoutOutPlugin/ShoutOut.csproj", "XML", 0, 0, 27, 0, 1, 28
"/home/munglo/MyRepos/Juan/Plugins/ShoutOutPlugin/ShoutOutArguments.cs", "C#", 0, 16, 0, 0, 4, 20
"/home/munglo/MyRepos/Juan/Plugins/ShoutOutPlugin/ShoutOutSettings.cs", "C#", 0, 7, 0, 0, 4, 11
"/home/munglo/MyRepos/Juan/README.md", "Markdown", 4, 0, 0, 0, 4, 8
"Total", "-", 4, 8335, 236, 1267, 809, 10651
